,£0.00,Users,,,,d,p,s,T,,
0,"£1,421.41",1063,,,,£808.97,741.7568683,£265.43,"£1,816.16",23.00,"£41,771.68"
1,"£1,394.68",1076,,,,£798.07,777.4143759,£251.32,"£1,826.80",20.00,"£36,536.00"
2,"£1,325.43",1055,,,,£761.77,699.6186834,£248.58,"£1,709.97",22.00,"£37,619.34"
3,"£1,137.45",1077,,,,£651.15,695.1257013,£196.49,"£1,542.77",21.00,"£32,398.17"
4,"£1,245.30",1064,,,,£716.89,678.4853691,£221.64,"£1,617.02",23.00,"£37,191.46"
5,"£1,175.39",1075,,,,£663.97,702.1762398,£215.86,"£1,582.01",22.00,"£34,804.22"
6,"£1,199.68",1069,,,,£661.61,700.6421179,£226.31,"£1,588.56",22.00,"£34,948.32"
7,"£1,157.12",1074,,,,£612.04,727.8286984,£224.72,"£1,564.59",23.00,"£35,985.57"
8,"£1,376.57",1079,,,,£773.42,781.970502,£240.55,"£1,795.94",20.00,"£35,918.80"
9,"£1,440.31",1104,,,,£760.13,864.3246804,£268.26,"£1,892.71",23.00,"£43,532.33"
10,"£1,518.57",1110,,,,£792.61,906.6419524,£278.30,"£1,977.55",22.00,"£43,506.10"
11,"£1,479.77",1062,,,,£784.22,765.6414909,£304.20,"£1,854.06",21.00,"£38,935.26"
,,,,,,,,,,,"£453,147.25"
